TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
Message,next Message,DT N,0,0,4,next,DT,cloned_repositories/Smack.git/smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java,1472
boolean,no Reply,DT N,0,0,5,no,DT,cloned_repositories/Smack.git/smack-extensions/src/main/java/org/jivesoftware/smackx/address/MultipleRecipientManager.java,1473
Throwable,a Throwable,DT NM,0,0,5,a,DT,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/component/MessageDialog.java,1474
KeyStore,all Store,DT N,0,0,1,all,DT,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/certificates/GeneralTrustManager.java,1475
HashMap,last Message,DT N,0,0,1,last,DT,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/transcripts/ChatTranscriptPlugin.java,1476
DateTime,last Date Loaded,DT N V,0,0,1,last,DT,cloned_repositories/toggldesktop.git/src/ui/windows/TogglDesktop/TogglDesktop/ui/ViewModels/TimelineViewModel.cs,1478
int,no text,DT N,0,0,5,no,DT,cloned_repositories/toggldesktop.git/third_party/openssl/apps/ca.c,1480
ASN1_GENERALIZEDTIME,next upd,DT N,0,0,5,next,DT,cloned_repositories/toggldesktop.git/third_party/openssl/crypto/ocsp/ocsp_cl.c,1481
string,m what,PRE DT,1,2,1,what,DT,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Dependencies/Catch/catch.hpp,1482
void,this Instance,DT N,0,0,5,this,DT,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Tools/CrashViewer/CrashReporterQuicklook/main.c,1483
Token*,next Preprocessed,DT V,0,0,4,next,DT,cloned_repositories/toggldesktop.git/third_party/poco/CppParser/src/Parser.cpp,1484
void*,send name all groups,V N DT NPL,2,1,4,all,DT,cloned_repositories/toxcore.git/toxcore/group.c,1486
uint64_t,no replay,DT V,0,0,3,no,DT,cloned_repositories/toxcore.git/toxcore/onion_client.c,1487
void*,tox self set no spam,PRE PRE V DT N,3,1,4,no,DT,cloned_repositories/toxcore.git/toxcore/tox.c,1488
void*,gui input search next,PRE PRE V DT,3,2,4,next,DT,cloned_repositories/weechat.git/src/gui/gui-input.c,1489
int*,gui line has tag no filter,PRE PRE V N DT N,4,1,4,no,DT,cloned_repositories/weechat.git/src/gui/gui-line.c,1490
void*,irc notify new for all servers,PRE PRE NM P DT NPL,4,1,4,all,DT,cloned_repositories/weechat.git/src/plugins/irc/irc-notify.c,1491
time_t,last data purge,DT N V,0,0,1,last,DT,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,1492
char,no log,DT N,0,0,3,no,DT,cloned_repositories/weechat.git/src/plugins/logger/logger.c,1493
t_plugin_script,last script,DT N,0,0,1,last,DT,cloned_repositories/weechat.git/src/plugins/plugin-script.h,1494
char,message no color,N DT N,1,1,3,no,DT,cloned_repositories/weechat.git/src/plugins/relay/irc/relay-irc.c,1495
VALUE*,weechat ruby api list next,PRE PRE PRE PRE DT,4,2,4,next,DT,cloned_repositories/weechat.git/src/plugins/ruby/weechat-ruby-api.c,1496
gboolean,no cap rp cap,DT V VM V,0,0,1,no,DT,cloned_repositories/wireshark.git/capture_opts.h,1497
int,atalk len,DT N,0,0,4,atalk,DT,cloned_repositories/wireshark.git/epan/dissectors/packet-atalk.c,1499
void,fprint all protocols for layer types,V DT NPL P NM NPL,1,1,4,all,DT,cloned_repositories/wireshark.git/ui/decode_as_utils.c,1500
gint,next offset,DT N,0,0,3,next,DT,cloned_repositories/wireshark.git/epan/dissectors/packet-mrcpv2.c,1501
guint32,last ack seq,DT NM N,0,0,1,last,DT,cloned_repositories/wireshark.git/epan/dissectors/packet-tcp.h,1502
guint32,where id,DT N,0,0,1,where,DT,cloned_repositories/wireshark.git/epan/dissectors/packet-mswsp.c,1503
guint,last n,DT N,0,0,1,last,DT,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,1504
int,last Row,DT N,0,0,1,last,DT,drill.git/contrib/format-excel/src/main/java/org/apache/drill/exec/store/excel/ExcelBatchReader.java,1507
boolean,next Line,DT N,0,0,4,next,DT,drill.git/contrib/format-excel/src/main/java/org/apache/drill/exec/store/excel/ExcelBatchReader.java,1508
Set,all New Schema Paths,DT NM NM NPL,0,0,4,all,DT,drill.git/contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBFunctionalIndexInfo.java,1509
DBDocumentReaderBase,next Document Reader,DT NM N,0,0,4,next,DT,drill.git/contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/json/MaprDBJsonRecordReader.java,1510
size_t,m last Connection,PRE DT N,1,1,1,last,DT,drill.git/contrib/native/client/src/clientlib/drillClientImpl.hpp,1511
bool,m all Tables Selectable,PRE DT NPL V,1,1,1,all,DT,drill.git/contrib/native/client/src/clientlib/metadata.hpp,1512
Set,all Metrics,DT NPL,0,0,3,all,DT,drill.git/contrib/storage-opentsdb/src/main/java/org/apache/drill/exec/store/openTSDB/OpenTSDBGroupScan.java,1514
ClassNames,next Precompiled,DT NM,0,0,3,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/compile/ClassTransformer.java,1515
LogicalExpression,this Expr,DT N,0,0,5,this,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EqualityVisitor.java,1516
LogicalExpression,that Expr,DT N,0,0,5,that,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EqualityVisitor.java,1517
JVar,last Writer Idx,DT NM N,0,0,1,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/DrillComplexWriterAggFuncHolder.java,1518
char,next Char,DT N,0,0,3,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/RegexpUtil.java,1519
Map,all Function Holders By Jar,DT NM NM P N,0,0,3,all,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/registry/FunctionRegistryHolder.java,1520
int,next Partition To Return,DT N P N,0,0,1,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1521
MappingSet,both Keys Null H table Mapping,DT NPL NM NM NM N,0,0,1,both,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/common/ChainedHashTable.java,1522
BatchHolder,last Entry Batch,DT NM N,0,0,5,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/common/HashTableTemplate.java,1523
IterOutcome,last Right Status,DT NM N,0,0,3,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/join/MergeJoinBatch.java,1524
int,last Write Index,DT NM N,0,0,4,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/rowSet/RowSetWriterImpl.java,1525
RelNode,last Rel Node,DT NM N,0,0,3,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/generators/IndexIntersectPlanGenerator.java,1526
boolean,enough Memory,DT N,0,0,4,enough,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/MemoryEstimationVisitor.java,1527
boolean,last Batch Read,DT NM N,0,0,1,last,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/RecordIterator.java,1528
float,next Cast Cost,DT NM N,0,0,3,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/resolver/TypeCastRules.java,1529
List,all Pools,DT NPL,0,0,5,all,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/config/selectionpolicy/AbstractQueueSelectionPolicy.java,1530
int,next Id,DT N,0,0,1,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/schema/SchemaIdGenerator.java,1531
ReadStatus,next Page From Queue,DT NM P N,0,0,4,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/AsyncPageReader.java,1532
boolean,next Integer If Not EOF,DT NM CJ DT N,0,0,4,next,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java,1533
boolean,next Integer If Not EOF,DT NM CJ DT N,3,1,4,Not,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java,1533
Filter,the Filter Rel,DT NM N,0,0,3,the,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/FilePushDownFilter.java,1534
Filter,the New Filter,DT NM N,0,0,3,the,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/FilePushDownFilter.java,1535
int,this Length,DT N,0,0,3,this,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/work/filter/BloomFilter.java,1536
BloomFilter,this One,DT N,0,0,3,this,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/work/filter/RuntimeFilterWritable.java,1537
boolean,all Procedures Are Callable,DT NPL V NM,0,0,4,all,DT,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillDatabaseMetaDataImpl.java,1538
Class,some Reference,DT N,0,0,1,some,DT,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/proxy/InvocationReporterImpl.java,1539
Iterator,this Iter,DT N,0,0,3,this,DT,drill.git/exec/vector/src/main/java/org/apache/drill/exec/record/MaterializedField.java,1540
int,this Index,DT N,0,0,5,this,DT,drill.git/exec/vector/src/main/java/org/apache/drill/exec/vector/UntypedNullVector.java,1541
bool,all space after,DT N P,0,0,3,all,DT,cloned_repositories/crow.git/include/crow/mustache.h,1560
bool,all space before,DT N P,0,0,3,all,DT,cloned_repositories/crow.git/include/crow/mustache.h,1561
Occupant,that,DT,0,0,3,that,DT,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/OccupantManager.java,1628
int,which Button,DT N,0,0,3,which,DT,cloned_repositories/panda3d.git/panda/src/windisplay/winGraphicsWindow.cxx,1666
JBlock,if No Val,CJ DT N,1,1,3,No,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EvaluationVisitor.java,1691
int,for Each Byte,P DT N,1,1,4,Each,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,1696
int,for Each Byte Desc,P DT NM N,1,1,4,Each,DT,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,1697
string,m what,PRE DT,1,2,1,what,DT,cloned_repositories/toggldesktop.git/third_party/plcrashreporter/Dependencies/Catch/catch.hpp,1706
int,time for each line,N P DT N,2,1,1,each,DT,cloned_repositories/weechat.git/src/gui/gui-buffer.h,1720
bool,any diffuse,DT N,1,2,1,diffuse,N,cloned_repositories/panda3d.git/pandatool/src/maxegg/maxToEggConverter.h,1439
Map,action To Index Map,N P NM N,0,0,1,action,N,{'gimp.srcml.xml_identifiers'},0
Map,action To Index Map,N P NM N,3,2,1,Map,N,{'gimp.srcml.xml_identifiers'},0
KToggleAction,action View Show Master Pages,NM N V NM NPL,1,1,1,View,N,{'elasticsearch.srcml.xml_identifiers'},1
int,actual Count,NM N,1,2,1,Count,N,{'okhttp.srcml.xml_identifiers'},3
boolean,add Bias To Embedding,V N P N,1,1,1,Bias,N,{'gimp.srcml.xml_identifiers'},4
boolean,add Bias To Embedding,V N P N,3,2,1,Embedding,N,{'gimp.srcml.xml_identifiers'},4
Guid,Added Unicode Smp,NM NM N,2,2,1,Smp,N,{'corenlp.srcml.xml_identifiers'},5
int,ADDRESS TYPE IPV4,NM NM N,2,2,1,IPV4,N,{'grpc.srcml.xml_identifiers'},6
ofFloatColor,ambient,N,0,0,1,ambient,N,{'grpc.srcml.xml_identifiers'},9
int,ATOM,N,0,0,1,ATOM,N,{'opencv.srcml.xml_identifiers'},10
uint,average In Bucket Used Slot Count,N P NM NM NM N,0,0,1,average,N,{'jenkins.srcml.xml_identifiers'},12
uint,average In Bucket Used Slot Count,N P NM NM NM N,5,2,1,Count,N,{'jenkins.srcml.xml_identifiers'},12
bool,b Loop,PRE N,1,2,1,Loop,N,{'corenlp.srcml.xml_identifiers'},14
u32,Bitmap Data Size,NM NM N,2,2,1,Size,N,{'junit4.srcml.xml_identifiers'},17
BMLog,bm log,NM N,1,2,1,log,N,{'junit4.srcml.xml_identifiers'},18
float,Bounding Radius,NM N,1,2,1,Radius,N,{'mockito.srcml.xml_identifiers'},19
BreakpointDataPtr,breakpoint,N,0,0,1,breakpoint,N,{'corenlp.srcml.xml_identifiers'},20
ParseField,BUCKETS PATH FIELD,NM NM N,2,2,1,FIELD,N,{'irrlicht.srcml.xml_identifiers'},21
Logger,LOGGER,N,0,0,1,LOGGER,N,{'openFrameworks.srcml.xml_identifiers'},23
long,build Timestamp,NM N,1,2,1,Timestamp,N,{'grpc.srcml.xml_identifiers'},24
BytecodeGenerator,caching Mock Bytecode Generator,NM NM NM N,3,2,1,Generator,N,{'gimp.srcml.xml_identifiers'},26
bool,calibration Phase,NM N,1,2,1,Phase,N,{'gimp.srcml.xml_identifiers'},27
GimpCanvasItem,canvas item,NM N,1,2,1,item,N,{'mockito.srcml.xml_identifiers'},28
sharedptr,cat Risk,NM N,1,2,1,Risk,N,{'Telegram.srcml.xml_identifiers'},29
CertificateChainCleaner,certificate Chain Cleaner,NM NM N,2,2,1,Cleaner,N,{'irrlicht.srcml.xml_identifiers'},30
OkHttpClient,client,N,0,0,1,client,N,{'elasticsearch.srcml.xml_identifiers'},33
int,client Number,NM N,1,2,1,Number,N,{'openFrameworks.srcml.xml_identifiers'},34
KoColorConversionSystem,color Conversion System,NM NM N,2,2,1,System,N,{'blender.srcml.xml_identifiers'},36
uint,colored Count,NM N,1,2,1,Count,N,{'swift.srcml.xml_identifiers'},37
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,1,1,1,Handler,N,{'elasticsearch.srcml.xml_identifiers'},38
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,6,2,1,Callback,N,{'elasticsearch.srcml.xml_identifiers'},38
PixelComponentType,component Type,NM N,1,2,1,Type,N,{'irrlicht.srcml.xml_identifiers'},39
int,context Length,NM N,1,2,1,Length,N,{'QuantLib.srcml.xml_identifiers'},40
CookieJar,cookie Jar,NM N,1,2,1,Jar,N,{'opencv.srcml.xml_identifiers'},41
GsrProcessCore,core,N,0,0,1,core,N,{'okhttp.srcml.xml_identifiers'},42
GeglNode,crop node,NM N,1,2,1,node,N,{'antlr4.srcml.xml_identifiers'},44
String,current Filename,NM N,1,2,1,Filename,N,{'kdevelop.srcml.xml_identifiers'},45
ISceneNode,Current Scene Node,NM NM N,2,2,1,Node,N,{'irrlicht.srcml.xml_identifiers'},46
GimpDebugPolicy,debug policy,NM N,1,2,1,policy,N,{'elasticsearch.srcml.xml_identifiers'},47
Answer defaultAnswer,default Answer,NM N,1,2,1,Answer,N,{'irrlicht.srcml.xml_identifiers'},48
ParametersRunnerFactory,DEFAULT FACTORY,NM N,1,2,1,FACTORY,N,{'blender.srcml.xml_identifiers'},49
void,default instance void,NM NM N,2,2,1,void,N,{'swift.srcml.xml_identifiers'},51
int,delay agnostic enabled,NM N V,1,1,1,agnostic,N,{'bullet3.srcml.xml_identifiers'},52
freenectdepthcb,depth cb,NM N,1,2,1,cb,N,{'okhttp.srcml.xml_identifiers'},53
bool,depth Stencil As Texture,NM N P N,1,1,1,Stencil,N,{'openFrameworks.srcml.xml_identifiers'},54
bool,depth Stencil As Texture,NM N P N,3,2,1,Texture,N,{'openFrameworks.srcml.xml_identifiers'},54
InstallState,DEVELOPMENT,N,0,0,1,DEVELOPMENT,N,{'blender.srcml.xml_identifiers'},56
int,dynamic Table Byte Count,NM NM NM N,3,2,1,Count,N,{'swift.srcml.xml_identifiers'},57
gint,edit count,NM N,1,2,1,count,N,{'junit4.srcml.xml_identifiers'},58
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,4,2,1,target,N,{'junit4.srcml.xml_identifiers'},59
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,4,2,1,Surface,N,{'openFrameworks.srcml.xml_identifiers'},60
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,3,2,1,fifo,N,{'calligra.srcml.xml_identifiers'},61
VersionNumber,EMBEDDED VERSION,NM N,1,2,1,VERSION,N,{'mockito.srcml.xml_identifiers'},62
FileObserver[],EMPTY DIRECTORY,NM N,1,2,1,DIRECTORY,N,{'irrlicht.srcml.xml_identifiers'},63
int,f Context Length,PRE NM N,2,2,1,Length,N,{'ogre.srcml.xml_identifiers'},68
Matcher,f Matcher,PRE N,1,2,1,Matcher,N,{'QuantLib.srcml.xml_identifiers'},69
FeedAdapter,FEED ADAPTER,NM N,1,2,1,ADAPTER,N,{'opencv.srcml.xml_identifiers'},70
SourceFile,File,N,0,0,1,File,N,{'jenkins.srcml.xml_identifiers'},71
RepeatedField,file Descriptor Proto,NM NM N,2,2,1,Proto,N,{'gimp.srcml.xml_identifiers'},72
AlertDialog,fingerprint Dialog,NM N,1,2,1,Dialog,N,{'jenkins.srcml.xml_identifiers'},74
int,flag,N,0,0,1,flag,N,{'bullet3.srcml.xml_identifiers'},75
DayCounter,float Day Counter,NM NM N,2,2,1,Counter,N,{'antlr4.srcml.xml_identifiers'},76
FootnotesPosition,footnotes Position,NM N,1,2,1,Position,N,{'kdevelop.srcml.xml_identifiers'},77
pointer,free cell,NM N,1,2,1,cell,N,{'mockito.srcml.xml_identifiers'},78
String,GEN SUBJ,NM N,1,2,1,SUBJ,N,{'blender.srcml.xml_identifiers'},79
String,GET SOURCE NAME,NM NM N,2,2,1,NAME,N,{'corenlp.srcml.xml_identifiers'},80
PFNGLINDEXMASKPROC,glew Index Mask,PRE NM N,2,2,1,Mask,N,{'QuantLib.srcml.xml_identifiers'},81
PFNGLRENDERMODEPROC,glew Render Mode,PRE NM N,2,2,1,Mode,N,{'jenkins.srcml.xml_identifiers'},82
PFNGLVALIDATEPROGRAMPIPELINEPROC,glew Validate Program Pipeline,PRE V NM N,3,2,1,Pipeline,N,{'QuantLib.srcml.xml_identifiers'},83
void,H Wnd,N NM,0,0,1,H,N,{'corenlp.srcml.xml_identifiers'},85
gint,height int,NM N,1,2,1,int,N,{'QuantLib.srcml.xml_identifiers'},87
QAction,history Action,NM N,1,2,1,Action,N,{'antlr4.srcml.xml_identifiers'},88
int,ID LUMNINANCE MIN,NM NM N,2,2,1,MIN,N,{'openFrameworks.srcml.xml_identifiers'},89
long,idle Delay,NM N,1,2,1,Delay,N,{'gimp.srcml.xml_identifiers'},90
vector,im out shape,NM NM N,2,2,1,shape,N,{'ogre.srcml.xml_identifiers'},91
stbi_uc,img buffer original,NM N NM,1,1,1,buffer,N,{'jenkins.srcml.xml_identifiers'},92
VerificationMode inOrderWrappedVerificationMode,in Order Wrapped Verification Mode,P N NM NM N,1,1,1,Order,N,{'bullet3.srcml.xml_identifiers'},93
VerificationMode inOrderWrappedVerificationMode,in Order Wrapped Verification Mode,P N NM NM N,4,2,1,Mode,N,{'bullet3.srcml.xml_identifiers'},93
String,INDEX PREFIX WITH TEMPLATE,NM N P N,1,1,1,PREFIX,N,{'jenkins.srcml.xml_identifiers'},95
String,INDEX PREFIX WITH TEMPLATE,NM N P N,3,2,1,TEMPLATE,N,{'jenkins.srcml.xml_identifiers'},95
int,index To Loc Format,N P NM N,0,0,1,index,N,{'calligra.srcml.xml_identifiers'},96
int,index To Loc Format,N P NM N,3,2,1,Format,N,{'calligra.srcml.xml_identifiers'},96
InetSocketAddress,inet Socket Address,NM NM N,2,2,1,Address,N,{'corenlp.srcml.xml_identifiers'},97
Throwable,INITIALIZATION ERROR,NM N,1,2,1,ERROR,N,{'grpc.srcml.xml_identifiers'},98
float,inner Alpha,NM N,1,2,1,Alpha,N,{'opencv.srcml.xml_identifiers'},99
String,INVALID HOST,NM N,1,2,1,HOST,N,{'Telegram.srcml.xml_identifiers'},101
int,INVALID STATE NUMBER,NM NM N,2,2,1,NUMBER,N,{'grpc.srcml.xml_identifiers'},102
bool,Invert Success,V N,1,2,1,Success,N,{'Telegram.srcml.xml_identifiers'},103
BitVector,Is Bridged Argument,V NM N,2,2,1,Argument,N,{'QuantLib.srcml.xml_identifiers'},104
ScorePhraseMeasures,IS FIRST CAPITAL,V NM N,2,2,1,CAPITAL,N,{'junit4.srcml.xml_identifiers'},105
boolean,is First Frame,V NM N,2,2,1,Frame,N,{'kdevelop.srcml.xml_identifiers'},106
bool,Is Indirect Result,V NM N,2,2,1,Result,N,{'QuantLib.srcml.xml_identifiers'},107
int,is partial,V N,1,2,1,partial,N,{'gimp.srcml.xml_identifiers'},108
bool,Is Return Bridged,V N NM,1,1,1,Return,N,{'corenlp.srcml.xml_identifiers'},109
bool,keep Aspect,V N,1,2,1,Aspect,N,{'corenlp.srcml.xml_identifiers'},110
Keysym,key sym,NM N,1,2,1,sym,N,{'gimp.srcml.xml_identifiers'},112
Pattern,label Regex,NM N,1,2,1,Regex,N,{'junit4.srcml.xml_identifiers'},113
HashMap,language To Rules Files,N P NM NPL,0,0,1,language,N,{'swift.srcml.xml_identifiers'},114
Size,last Saved Step,NM NM N,2,2,1,Step,N,{'gimp.srcml.xml_identifiers'},115
String,LATENCY ARG,NM N,1,2,1,ARG,N,{'junit4.srcml.xml_identifiers'},116
GeglNode,layer mask source node,NM NM NM N,3,2,1,node,N,{'swift.srcml.xml_identifiers'},117
c8[],Link Name,NM N,1,2,1,Name,N,{'mockito.srcml.xml_identifiers'},118
VcsAnnotation,m annotation,PRE N,1,2,1,annotation,N,{'QuantLib.srcml.xml_identifiers'},120
b3Scalar,m contact Motion 1,PRE NM N D,2,1,1,Motion,N,{'okhttp.srcml.xml_identifiers'},121
bool,m execute On Host,PRE V P N,3,2,1,Host,N,{'mockito.srcml.xml_identifiers'},123
int,m FBO Height,PRE NM N,2,2,1,Height,N,{'junit4.srcml.xml_identifiers'},124
uint8 mFirstRenderQueue,m First Render Queue,PRE NM NM N,3,2,1,Queue,N,{'blender.srcml.xml_identifiers'},125
bool,m is indx present,PRE V NM N,3,2,1,present,N,{'junit4.srcml.xml_identifiers'},127
AtomicBoolean,m is Worker Done,PRE V N NM,2,1,1,Worker,N,{'QuantLib.srcml.xml_identifiers'},128
Cursor,m last Changed Location,PRE NM NM N,3,2,1,Location,N,{'ogre.srcml.xml_identifiers'},129
