TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
BaseLoaderCallback	Base Loader Callback	CLASS	NM NM N	Java	opencv	https://github.com/opencv/opencv
btTransform	base transform	DECLARATION	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
BasicReplicationRequest	Basic Replication Request	CLASS	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
BasketPayoff	Basket Payoff	CLASS	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Map beanConfigs	bean Configs	ATTRIBUTE	NM NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
List	befores	ATTRIBUTE	NPL	Java	junit4	https://github.com/junit-team/junit4
guchar	best b	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
IndexedWord	best Node	DECLARATION	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
XIMStyle	best Style	DECLARATION	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
QString	bibliography Type	PARAMETER	NM N	C++	calligra	https://github.com/KDE/calligra
Constructor	biggest Constructor	FUNCTION	NM N	Java	mockito	https://github.com/mockito/mockito
BinaryRule	Binary Rule	CLASS	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
String	binary Search Bytes	FUNCTION	NM NM NPL	Java	okhttp	https://github.com/square/okhttp
MMatrix	bind Matrix	DECLARATION	NM N	C++	ogre	https://github.com/OGRECave/ogre
s16	binormal type	DECLARATION	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
u32	Bitmap Data Size	ATTRIBUTE	NM NM N	C	irrlicht	https://github.com/zaki/irrlicht
int	BKE lattice index flip	FUNCTION	PRE NM N V	C	blender	https://github.com/blender/blender
void	BLI str r strip	FUNCTION	PRE N VM V	C	blender	https://github.com/blender/blender
unsigned	block Nr	PARAMETER	NM N	C++	calligra	https://github.com/KDE/calligra
BMLog	bm log	ATTRIBUTE	NM N	C	blender	https://github.com/blender/blender
vector	bone Positions	PARAMETER	NM NPL	C++	ogre	https://github.com/OGRECave/ogre
int	bound Port	PARAMETER	NM N	C#	grpc	https://github.com/grpc/grpc
float	Bounding Radius	ATTRIBUTE	NM N	C	irrlicht	https://github.com/zaki/irrlicht
LongConsumer	breaker Consumer	PARAMETER	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
BreakpointDataPtr	breakpoint	ATTRIBUTE	N	C++	kdevelop	https://github.com/KDE/kdevelop
SILValue	Bridged Value Fun Arg	PARAMETER	NM NM NM N	C++	swift	https://github.com/apple/swift
quint32	brush Hatch	PARAMETER	NM N	C++	calligra	https://github.com/KDE/calligra
btCollisionShape	bt Collision Shape	CLASS	PRE NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
class btDeformableContactConstraint	bt Deformable Contact Constraint	CLASS	PRE NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
btMaterial	bt Material	CLASS	PRE N	C++	bullet3	https://github.com/bulletphysics/bullet3
BucketCollector	Bucket Collector	CLASS	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
ParseField	BUCKETS PATH FIELD	ATTRIBUTE	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
u32	buf Num	PARAMETER	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
vector	buffers	ATTRIBUTE	NPL	C++	Telegram	https://github.com/DrKLO/Telegram
BuildContext	build Context	PARAMETER	NM N	Java	antlr4	https://github.com/antlr/antlr4
void	build Group Query	FUNCTION	V NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
void	build Lexer Rule Actions	FUNCTION	V NM NM NPL	Java	antlr4	https://github.com/antlr/antlr4
BuildWrapper	Build Wrapper	CLASS	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
Path	built Url	PARAMETER	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
ByteArrayView	byte Array View	PARAMETER	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
uint32t	byte Count	DECLARATION	NM N	C	Telegram	https://github.com/DrKLO/Telegram
int8t	byte Src	DECLARATION	NM N	C++	Telegram	https://github.com/DrKLO/Telegram
long	bytes Received	ATTRIBUTE	NPL NM	Java	okhttp	https://github.com/square/okhttp
CAnimatedMeshSceneNode	C Animated Mesh Scene Node	CLASS	PRE NM NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
CArchiveLoaderTAR	C Archive Loader TAR	CLASS	PRE NM N NM	C++	irrlicht	https://github.com/zaki/irrlicht
CAtBackgroundColor	C At Background Color	CLASS	PRE NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
CAtFont	C At Font	CLASS	PRE NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
CAtGrayScale	C At Grayscale	CLASS	PRE NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
CBurningShader_Raster_Reference	C Burning Shader Raster Reference	CLASS	PRE NM NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
CD3D9RenderTarget	C D3D9 Render Target	CLASS	PRE NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
CFileReadCallBack	C File Read Callback	CLASS	PRE NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
Chttp2Connector	C http2 Connector	CLASS	PRE NM N	C++	grpc	https://github.com/grpc/grpc
CImage	C Image	CLASS	PRE N	C++	irrlicht	https://github.com/zaki/irrlicht
CImageWriterJPG	C Image Writer JPG	CLASS	PRE NM N NM	C++	irrlicht	https://github.com/zaki/irrlicht
ceresproblemt	c problem	PARAMETER	NM N	C++	blender	https://github.com/blender/blender
CSkinnedMesh	C Skinned Mesh	CLASS	PRE NM N	C++	irrlicht	https://github.com/zaki/irrlicht
Sink	cache Body Unbuffered	DECLARATION	NM N NM	Java	okhttp	https://github.com/square/okhttp
IndexShardCacheEntity	cache Entity	DECLARATION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
QString	cache file	PARAMETER	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
CacheStrategy	Cache Strategy	CLASS	NM N	Java	okhttp	https://github.com/square/okhttp
CachedRegionTracker	Cached Region Tracker	CLASS	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
BytecodeGenerator	caching Mock Bytecode Generator	ATTRIBUTE	NM NM NM N	Java	mockito	https://github.com/mockito/mockito
bool	calibration Phase	ATTRIBUTE	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
CallErrorExtensions	Call Error Extensions	CLASS	NM NM NPL	C#	grpc	https://github.com/grpc/grpc
long	call Id	PARAMETER	NM N	Java	okhttp	https://github.com/square/okhttp
float	cam Rot Z	DECLARATION	NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
CameraData	Camera Data	CLASS	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
GimpCanvasItem	canvas item	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
vector	cap Times	DECLARATION	NM NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
CapletVarianceCurve	Caplet Variance Curve	CLASS	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
sharedptr	cat Risk	ATTRIBUTE	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
CategoryFilterFactory	Category Filter Factory	CLASS	NM NM N	Java	junit4	https://github.com/junit-team/junit4
Matcher	cause Matcher	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
CborXContent	Cbor X Content	CLASS	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
FrameIterator	cell Cursor	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
CertificateChainCleaner	certificate Chain Cleaner	ATTRIBUTE	NM NM N	Java	okhttp	https://github.com/square/okhttp
char	Ch	DECLARATION	N	C++	grpc	https://github.com/grpc/grpc
ChapterTocFrame	Chapter Toc Frame	CLASS	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
stbttbuf	char strings	ATTRIBUTE	NM NPL	C	bullet3	https://github.com/bulletphysics/bullet3
bool	check GL Support	FUNCTION	V NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
void	check Sign	FUNCTION	V N	C++	QuantLib	https://github.com/lballabio/QuantLib
void	check T	FUNCTION	V N	C++	QuantLib	https://github.com/lballabio/QuantLib
void	Check Writeable	FUNCTION	V NM	C#	grpc	https://github.com/grpc/grpc
Set	child Categories	DECLARATION	NM NPL	Java	junit4	https://github.com/junit-team/junit4
ChildLocation	Child Location	CLASS	NM N	C	gimp.idents	https://github.com/GNOME/gimp
Runnable	child Statement	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
ChineseTreebankParserParams	Chinese Treebank Parser Params	CLASS	NM NM NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
void	choose Document	FUNCTION	V N	C++	kdevelop	https://github.com/KDE/kdevelop
QList	chosen Overrides	ATTRIBUTE	NM NPL	C++	kdevelop	https://github.com/KDE/kdevelop
CipherSuite	Cipher Suite	CLASS	NM N	Java	okhttp	https://github.com/square/okhttp
auto	clang Can Ty	DECLARATION	PRE NM N	C++	swift	https://github.com/apple/swift
Annotation[]	class Annotations	FUNCTION	NM NPL	Java	junit4	https://github.com/junit-team/junit4
ClassLoaders	Class Loaders	CLASS	NM NPL	Java	mockito	https://github.com/mockito/mockito
byte[]	classfile Buffer	PARAMETER	NM N	Java	mockito	https://github.com/mockito/mockito
ClauseMatrix	Clause Matrix	CLASS	NM N	C++	swift	https://github.com/apple/swift
void	Clear Active ID	FUNCTION	V NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
OkHttpClient	client	ATTRIBUTE	N	Java	okhttp	https://github.com/square/okhttp
HandshakeCertificates	client Certificates	DECLARATION	NM NPL	Java	okhttp	https://github.com/square/okhttp
int	client Number	ATTRIBUTE	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
bool	clip Dist Bug	DECLARATION	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
Clock	Clock	CLASS	N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
ClusterUpdateSettingsResponse	Cluster Update Settings Response	CLASS	NM NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
List	cmd Lines	DECLARATION	NM NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
CmdOutputOperationType	Cmd Output Operation Type	CLASS	NM NM NM N	C++	ogre	https://github.com/OGRECave/ogre
String	cmd Str	PARAMETER	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
sharedptr	cms Pricer	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
String	code Exception Message	DECLARATION	NM NM N	Java	okhttp	https://github.com/square/okhttp
CodeGeneratorPrivate	Code Generator Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
int	code Point To	PARAMETER	NM N P	Java	antlr4	https://github.com/antlr/antlr4
int[]	CODES	ATTRIBUTE	NPL	Java	okhttp	https://github.com/square/okhttp
long	col Length Left	DECLARATION	NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
KoColorConversionSystem	color Conversion System	ATTRIBUTE	NM NM N	C++	calligra	https://github.com/KDE/calligra
ColorMap	Color Map	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
QMap	color Map	PARAMETER	NM N	C++	opencv	https://github.com/opencv/opencv
uint	colored Count	ATTRIBUTE	NM N	C	kdevelop	https://github.com/KDE/kdevelop
CombinePaintMaskToCanvasBufferToPaintBufAlpha	Combine Paint Mask To Canvas Buffer To Paint Buf Alpha	CLASS	NM NM N P NM N P NM NM N	C++	gimp.idents	https://github.com/GNOME/gimp
Command_t	Command t	CLASS	NM N	C	gimp.idents	https://github.com/GNOME/gimp
CompMask	Comp Mask	CLASS	NM N	C++	gimp.idents	https://github.com/GNOME/gimp
Field	compare Fields By Name	DECLARATION	V NPL P N	Java	mockito	https://github.com/mockito/mockito
TValue	comparison Value	PARAMETER	NM N	C#	antlr4	https://github.com/antlr/antlr4
CompilerItem	Compiler Item	CLASS	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
bool	compiling Contexts	DECLARATION	V NPL	C	kdevelop	https://github.com/KDE/kdevelop
BatchCompletionDelegate	Completion Handler I Unary Response Client Callback	ATTRIBUTE	NM N NM NM NM NM N	C#	grpc	https://github.com/grpc/grpc
PixelComponentType	component Type	ATTRIBUTE	NM N	C	ogre	https://github.com/OGRECave/ogre
List	concrete Follower Indices	PARAMETER	NM NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
mat4	cone translation	DECLARATION	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
ConfigureTimeouts	Configure Timeouts	CLASS	NM NPL	Java	okhttp	https://github.com/square/okhttp
serverconnectionstate	connection state	PARAMETER	NM N	C++	grpc	https://github.com/grpc/grpc
ConstParameterFloat	Const Parameter Float	CLASS	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
ContainerTabBar	Container Tab Bar	CLASS	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
ContentPath	Content Path	CLASS	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
String	content Type String	PARAMETER	NM NM N	Java	okhttp	https://github.com/square/okhttp
int	context Length	ATTRIBUTE	NM N	Java	junit4	https://github.com/junit-team/junit4
QList	context Url List	FUNCTION	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
ContextualizeClosures	Contextualize Closures	CLASS	V NPL	C++	swift	https://github.com/apple/swift
QVector	control Points	DECLARATION	NM NPL	C++	calligra	https://github.com/KDE/calligra
ControlledObject	Controlled Object	CLASS	NM N	C++	blender	https://github.com/blender/blender
ControllerValue	Controller Value	CLASS	NM N	C++	ogre	https://github.com/OGRECave/ogre
string	Convert To Php Namespace	FUNCTION	V P NM N	C++	grpc	https://github.com/grpc/grpc
b3ConvexPolyhedronData	convex Shapes	PARAMETER	NM NPL	C	bullet3	https://github.com/bulletphysics/bullet3
CookieJar	cookie Jar	ATTRIBUTE	NM N	Java	okhttp	https://github.com/square/okhttp
ActionBarMenuItem	copy Item	DECLARATION	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
GsrProcessCore	core	ATTRIBUTE	N	C++	QuantLib	https://github.com/lballabio/QuantLib
opusint64[]	corr QC	DECLARATION	NM N	C	Telegram	https://github.com/DrKLO/Telegram
sharedptr	coterminal Model	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
char[]	cp 1254	DECLARATION	N D	C++	calligra	https://github.com/KDE/calligra
CppGeneratorServices	Cpp Generator Services	CLASS	NM NM NPL	C#	grpc	https://github.com/grpc/grpc
CqEventQueue	Cq Event Queue	CLASS	NM NM N	C++	grpc	https://github.com/grpc/grpc
int	create Duplicate Change Id	FUNCTION	V NM NM N	C++	calligra	https://github.com/KDE/calligra
ParameterPtr	create In Indices	FUNCTION	V NM NPL	C++	ogre	https://github.com/OGRECave/ogre
bool	create metadata array	FUNCTION	V NM N	C++	grpc	https://github.com/grpc/grpc
Buffer	create Sub Buffer	FUNCTION	V NM N	C++	opencv	https://github.com/opencv/opencv
grpc_server_credentials* creds_	creds	ATTRIBUTE	NPL	C	grpc	https://github.com/grpc/grpc
CRFNonLinearLogConditionalObjectiveFunction	CRF Non Linear Log Conditional Objective Function	CLASS	NM NM NM NM NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
GeglNode	crop node	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
Exception	curr Thread Exception	DECLARATION	NM NM N	Java	junit4	https://github.com/junit-team/junit4
Mat	current Charuco Corners	DECLARATION	NM NM NPL	C++	opencv	https://github.com/opencv/opencv
String	current Filename	ATTRIBUTE	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
InvocationOnMock	current Invocation	PARAMETER	NM N	Java	mockito	https://github.com/mockito/mockito
int16_t current_median	current median	PARAMETER	NM N	C	Telegram	https://github.com/DrKLO/Telegram
int	current Open Shards	DECLARATION	NM NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
String	current Prefix	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
Matrix	current Root	PARAMETER	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
ISceneNode	Current Scene Node	ATTRIBUTE	NM NM N	C++	irrlicht	https://github.com/zaki/irrlicht
vector	current Sequence	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
int	current Slide	FUNCTION	NM N	C++	calligra	https://github.com/KDE/calligra
gint	curvatures height	PARAMETER	NM N	C	gimp	https://github.com/GNOME/gimp
vector	curves	FUNCTION	NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
DBusProxy	D Bus Proxy	CLASS	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
float	d inf	DECLARATION	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
Mat	D mat	PARAMETER	NM N	C++	opencv	https://github.com/opencv/opencv
DobjPoints	D obj Points	CLASS	NM NM NPL	C	gimp.idents	https://github.com/GNOME/gimp
D3D11UnsupportedGpuProgram	D3D11 Unsupported Gpu Program	CLASS	NM NM NM N	C++	ogre	https://github.com/OGRECave/ogre
DataAccessRepositoryPrivate	Data Access Repository Private	CLASS	NM NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
FrameworkMethod	data Point Method	PARAMETER	NM NM N	Java	junit4	https://github.com/junit-team/junit4
GimpDebugPolicy	debug policy	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
DeclarationContextPrivate	Declaration Context Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
DeclarationItem	Declaration Item	CLASS	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
void	declare Component	FUNCTION	V N	C++	kdevelop	https://github.com/KDE/kdevelop
Object	deep Stub	FUNCTION	NM N	Java	mockito	https://github.com/mockito/mockito
guchar	default	PARAMETER	N	C	gimp	https://github.com/GNOME/gimp
Answer defaultAnswer	default Answer	ATTRIBUTE	NM N	Java	mockito	https://github.com/mockito/mockito
AutoConstantEntry	default Auto Entry	PARAMETER	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
BlockedItem	DEFAULT BLOCKED ITEM COMPARATOR	DECLARATION	NM NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
ParametersRunnerFactory	DEFAULT FACTORY	ATTRIBUTE	NM N	Java	junit4	https://github.com/junit-team/junit4
int	DEFAULT FLAGS	ATTRIBUTE	NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
DefaultInjectionEngine	Default Injection Engine	CLASS	NM NM N	Java	mockito	https://github.com/mockito/mockito
void	default instance void	ATTRIBUTE	NM NM N	C	opencv	https://github.com/opencv/opencv
ColorManagedLook	default look	DECLARATION	NM N	C	blender	https://github.com/blender/blender
Matx	default mat x	PARAMETER	NM NM N	C++	opencv	https://github.com/opencv/opencv
DefaultMockingDetails	Default Mocking Details	CLASS	NM NM NPL	Java	mockito	https://github.com/mockito/mockito
bool	default open	PARAMETER	N NM	C	bullet3	https://github.com/bulletphysics/bullet3
String	default Role	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
DefaultSslRootsOverride	Default Ssl Roots Override	CLASS	NM NM NPL NM	C#	grpc	https://github.com/grpc/grpc
Define	Define	CLASS	N	C++	calligra	https://github.com/KDE/calligra
int	delay agnostic enabled	ATTRIBUTE	NM N V	C	Telegram	https://github.com/DrKLO/Telegram
DeleteResponse	delete	FUNCTION	V	Java	elasticsearch	https://github.com/elastic/elasticsearch
void	Delete Input	FUNCTION	V N	C	grpc	https://github.com/grpc/grpc
AbstractCoreLabel	dep H	PARAMETER	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
ST	dependencies ST	DECLARATION	NM N	Java	antlr4	https://github.com/antlr/antlr4
QString	DEPOT MESSAGE START	DECLARATION	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
freenectdepthcb	depth cb	ATTRIBUTE	NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
bool	depth Stencil As Texture	ATTRIBUTE	NM N P N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
